date,Tmax,Tmin,Tavg,Prcp
4/26/2010,34,25.9,29.6,0
4/27/2010,35.1,26.8,30.3,0
4/28/2010,34.9,26.3,30.2,0
4/29/2010,34.7,26.5,30,0
4/30/2010,35.1,25.6,29.7,0
5/1/2010,34.4,26,29.5,0
5/2/2010,34.9,25.8,29.5,0
5/3/2010,33.6,25.9,29.2,0
5/4/2010,32.8,26.9,29.5,0
5/5/2010,34.1,27.6,30.4,0
5/6/2010,34.5,27.7,30.5,0
5/7/2010,34.4,27.2,30.3,0
5/8/2010,33.6,27.4,30.1,0
5/9/2010,33.5,27,29.5,0
5/10/2010,33.5,26.1,29.5,0
5/11/2010,35.3,26.3,30.4,0
5/12/2010,35.8,26.1,30.3,0
5/13/2010,35.6,26.6,30.6,0
5/14/2010,39.5,27.1,32.2,0
5/15/2010,36,27.2,31.1,0
5/16/2010,34.5,27.2,30.4,0
5/17/2010,33.5,27,29.8,0
5/18/2010,35.3,27.7,30.8,0
5/19/2010,35.8,27.2,30.9,0
5/20/2010,36.4,27.7,31.5,0
5/21/2010,35.8,28.1,31.3,0
5/22/2010,34.7,27.8,30.7,0
5/23/2010,34.6,27.6,30.5,0
5/24/2010,34.4,27.9,30.6,0
5/25/2010,33.8,27.5,30.2,0
5/26/2010,33.8,28.3,30.5,0
5/27/2010,33.6,28.2,30.4,0
5/28/2010,34,28.1,30.4,0
5/29/2010,34.7,27.6,30.3,0
5/30/2010,33.4,27.3,29.8,0
5/31/2010,32.9,27.5,29.9,0
6/1/2010,33.1,27.8,30.1,0
6/2/2010,34,28,30.5,0
6/3/2010,34.3,28.3,30.9,0
6/4/2010,33.7,28.7,30.6,0.4
6/5/2010,33.5,28.1,30.1,1.5
6/6/2010,28.4,26.6,27.5,50
6/7/2010,30.9,27.5,29,0.2
6/8/2010,31.1,27.5,29,0
6/9/2010,30.9,27.3,28.9,0
6/10/2010,31.4,27.3,29,0
6/11/2010,31.8,26.8,28.8,0
6/12/2010,32.3,26.4,28.9,0
6/13/2010,32.4,27.2,29.5,0
6/14/2010,32.6,27.7,29.9,0
6/15/2010,32.9,28.2,30,0
6/16/2010,33.3,27.6,29.9,0
6/17/2010,32.8,27.3,29.6,0
6/18/2010,32.6,27.5,29.7,0
6/19/2010,33,27,29.5,0
6/20/2010,33.5,26.9,29.7,0
6/21/2010,32.7,27.8,30,0
6/22/2010,33,28.4,30.3,0
6/23/2010,32.4,28.3,30,0
6/24/2010,32.1,28.5,29.9,0.5
6/25/2010,32.2,28.1,29.7,0
6/26/2010,32.5,27.8,29.8,0
6/27/2010,32.6,27.5,29.5,0
6/28/2010,32.2,27.6,29.6,0
6/29/2010,32.3,28.1,29.8,0
6/30/2010,32.2,27.6,29.6,0
7/1/2010,32.4,27.4,29.6,0
7/2/2010,32.7,28.1,30.1,0
7/3/2010,34.1,28.3,30.6,0
7/4/2010,33.9,27.8,30.4,0
7/5/2010,35.3,28.7,31,0
7/6/2010,34.6,28.8,31.1,0.2
7/7/2010,32,28.4,29.8,16.1
7/8/2010,33.7,28.4,30.6,1.7
7/9/2010,32.5,28.3,30.3,1.4
7/10/2010,31.7,28.7,30,1
7/11/2010,30.9,28.3,29.3,0.2
7/12/2010,30.9,28,29.2,0.7
7/13/2010,31.3,28.1,29.4,1
7/14/2010,31.5,27.5,29.3,1.7
7/15/2010,31.5,27.5,29.1,0
7/16/2010,32.1,27.4,29.3,0
7/17/2010,32.6,27.6,29.7,0
7/18/2010,33.4,28.2,30.4,0
7/19/2010,32.8,28.4,30.3,0
7/20/2010,33.1,28.8,30.6,0
7/21/2010,32.4,28.5,30.2,0
7/22/2010,32.3,28.4,29.9,0.1
7/23/2010,32,27.8,29.5,2.4
7/24/2010,31.9,27.9,29.4,0
7/25/2010,30.9,27.3,28.8,0
7/26/2010,29.9,27.3,28.4,0
7/27/2010,30,26.9,27.9,72.1
7/28/2010,30,27.2,28.3,5.5
7/29/2010,31.8,26.7,29,0.3
7/30/2010,31.1,27.3,29,0.3
7/31/2010,32.9,27.3,29.7,0
8/1/2010,30.1,27.8,28.8,0
8/2/2010,29.1,27.7,28.3,0
8/3/2010,29.4,27.3,28.2,0
8/4/2010,30.3,26.9,28.4,0
8/5/2010,30.7,27,28.5,0
8/6/2010,30.7,26.7,28.3,0.9
8/7/2010,29.8,26.6,27.9,11.1
8/8/2010,31.4,26.6,28.2,14.1
8/9/2010,29.6,26,27.6,17.3
8/10/2010,30.5,27.1,28.4,0
8/11/2010,30.5,27.3,28.6,0
8/12/2010,30.3,27.2,28.4,0
8/13/2010,29.9,26.8,28.1,0
8/14/2010,29.9,26.5,28,0
8/15/2010,30.3,26.7,28.1,0
8/16/2010,30.9,26.6,28.3,0
8/17/2010,30.6,26.8,28.3,0
8/18/2010,30.5,26.8,28.3,0
8/19/2010,29.8,26.8,28.3,0
8/20/2010,29.8,27.2,28.2,0.4
8/21/2010,30.2,26.9,28.2,0
8/22/2010,30.3,27,28.3,0
8/23/2010,30.2,26.9,28.2,0.2
8/24/2010,29.9,26.8,28.1,0.3
8/25/2010,29.6,26.5,27.9,0.3
8/26/2010,31.7,26.3,28.4,0
8/27/2010,34.5,26.9,30,0.2
8/28/2010,33.7,27.3,29.6,0
8/29/2010,31.8,26.6,28.7,0
8/30/2010,30.8,26.8,28.5,0
8/31/2010,31.7,26.5,28.7,0
9/1/2010,33.7,27.3,29.8,0
9/2/2010,32.9,27.4,29.6,0
9/3/2010,32.1,27.4,29.3,0
9/4/2010,30.9,27,28.6,0
9/5/2010,31.5,26.9,28.7,0
9/6/2010,31.6,26.8,28.6,0
9/7/2010,30.8,26.8,28.3,0
9/8/2010,31.2,26.2,28.3,0
9/9/2010,32.5,26.4,28.8,3.3
9/10/2010,33.5,26.6,29.1,12.2
9/11/2010,29.3,26.9,27.7,19.9
9/12/2010,29.5,26.8,27.9,0
9/13/2010,29.4,26.3,27.5,0
9/14/2010,29.7,25.9,27.4,0
9/15/2010,29.4,25.5,27,0
9/16/2010,29.4,25.7,27,0
9/17/2010,29.1,24.7,26.6,0
9/18/2010,32.7,25.4,28.1,0
9/19/2010,34.7,23.8,29.5,0
9/20/2010,35.2,24.9,29.6,0
9/21/2010,32.7,24.8,28.5,0
9/22/2010,31.8,23.9,27.3,0
9/23/2010,31.3,24.5,27.4,0
9/24/2010,31,24.7,27.5,0
9/25/2010,30.6,25.2,27.2,0
9/26/2010,31,24.6,27.3,0
9/27/2010,32.9,24.1,27.5,0
9/28/2010,34.6,24.1,29.1,0
9/29/2010,34.4,25.4,29.2,0
9/30/2010,33.7,26.1,29.1,0
10/1/2010,34.8,24.1,29.1,0
10/2/2010,37.6,25.7,31,0
10/3/2010,37.6,26.2,31.1,0
10/4/2010,35.8,25.5,29.8,0
10/5/2010,34.7,24.9,29.2,0
10/6/2010,34.6,24.6,28.9,0
10/7/2010,32.6,25.2,28.2,0
10/8/2010,31.4,26.2,28,0
10/9/2010,30.5,25.6,27.7,0
10/10/2010,31.5,26.1,28.1,0
10/11/2010,31.1,24.5,27.5,0
10/12/2010,30.9,24.6,27.2,0
10/13/2010,32,23.9,27.4,0
10/14/2010,31.4,24.7,27.5,0
10/15/2010,30.8,25.4,27.5,0
10/16/2010,31.1,25.3,27.6,0
10/17/2010,32,25,27.6,0
10/18/2010,34.9,23.9,28.6,0
10/19/2010,36.8,23.9,29.8,0
10/20/2010,36.2,23.7,29.6,0
10/21/2010,34.6,24.2,28.6,0
10/22/2010,35.3,24.3,28.7,0
10/23/2010,31.8,23.5,27.2,0
10/24/2010,31.3,23.9,26.8,0
10/25/2010,30.9,23.4,26.4,0
10/26/2010,31.2,22,26.1,0
10/27/2010,31.3,20.8,25.8,0
10/28/2010,32.3,21.4,26.6,0.3
10/29/2010,29.7,23.3,26.4,2
10/30/2010,31,22.8,26.8,0
10/31/2010,33.1,23.2,27.8,0
11/1/2010,32,21,26.6,0
11/2/2010,32.8,21,27.1,0
11/3/2010,34,21.8,27.8,0
11/4/2010,32.9,20,26.6,0
11/5/2010,32.2,20.5,26.2,0
11/6/2010,32.7,21.9,26.7,0
11/7/2010,34.3,22.8,28.3,0
11/8/2010,33.2,23.9,28.3,0
11/9/2010,33.2,23.7,28.2,0
11/10/2010,33.8,26,29.4,0
11/11/2010,32.8,23.1,28.1,0
11/12/2010,32,21.6,26.5,0
11/13/2010,31.9,22.2,26.7,0
11/14/2010,33.4,22.1,27.7,0
11/15/2010,32.6,23.3,27.5,0
11/16/2010,30.8,20.6,25.3,0
11/17/2010,30.7,18.8,24.6,0
11/18/2010,31.3,20.4,25.9,0
11/19/2010,30.3,19.1,24.9,0
11/20/2010,30.2,17.9,23.8,0
11/21/2010,29.3,18.1,23.9,0
11/22/2010,25.5,19.3,22.7,0
11/23/2010,28.9,18.2,23.3,0
11/24/2010,29,20,24.2,0
11/25/2010,28.3,18.3,23.3,0
11/26/2010,28.2,17.3,22.6,0
11/27/2010,27,16.7,22,0
11/28/2010,27.3,15.2,21.6,0
11/29/2010,28.8,16.8,22.6,0
11/30/2010,27.8,16.2,21.8,0
12/1/2010,26.7,15.1,21,0
12/2/2010,28.5,15,21.5,0
12/3/2010,27.9,16.5,21.8,0
12/4/2010,27.7,15.7,21.4,0
12/5/2010,27.8,16.3,21.6,0
12/6/2010,27.3,16.5,21.4,0
12/7/2010,26.3,15.8,20.6,0
12/8/2010,25.3,15,19.8,0
12/9/2010,24.7,14,19,0
12/10/2010,24.3,11.5,18.1,0
12/11/2010,24.3,12,18.6,0
12/12/2010,25.1,15.5,20.4,0
12/13/2010,27.9,15.4,21.9,0
12/14/2010,27,15.6,21,0
12/15/2010,25.7,13.6,19.8,0
12/16/2010,25.4,14.7,20.1,0
12/17/2010,25.4,14,19.8,0
12/18/2010,27.4,14.3,20.5,0
12/19/2010,27.3,14.9,20.8,0
12/20/2010,26.8,15,20.5,0
12/21/2010,25.5,14,19.9,0
12/22/2010,28.9,14.4,21.5,0
12/23/2010,28.4,15,21.4,0
12/24/2010,25.7,17.2,20.8,0
12/25/2010,24.9,14.8,19.5,0
12/26/2010,24.1,12.4,18.5,0
12/27/2010,24.7,15.2,19.4,0
12/28/2010,24.1,15.1,19.2,0
12/29/2010,24.1,14.9,19.3,0
12/30/2010,24,13.1,18.6,0
12/31/2010,23.7,14.2,18.8,0
1/1/2011,23.8,11.7,17.7,0
1/2/2011,22.9,10.6,17,0
1/3/2011,23.6,11.4,18.2,0
1/4/2011,24.2,13,18.4,0
1/5/2011,23.9,13.6,18.1,0
1/6/2011,23.7,12.8,17.8,0
1/7/2011,22.5,12.4,17.3,0
1/8/2011,23.4,14.3,18.3,0
1/9/2011,24.6,12.9,18.2,0
1/10/2011,23.8,12.5,17.9,0
1/11/2011,24,14.3,19,0
1/12/2011,25.7,16.9,20.8,0
1/13/2011,24.5,19.3,21.3,0
1/14/2011,25,16.1,20.4,0
1/15/2011,21.4,12.5,17.2,0
1/16/2011,22.4,10.7,16.7,0
1/17/2011,24,15.2,19.5,0
1/18/2011,26.9,16.4,21.6,0
1/19/2011,25.8,14.9,20.2,0
1/20/2011,25.8,13.5,19.5,0
1/21/2011,25.5,16.6,20.6,0
1/22/2011,26.4,15.9,21.1,0
1/23/2011,26.5,18,21.9,0
1/24/2011,26.4,17.3,21.6,0
1/25/2011,26,14.4,20.2,0
1/26/2011,26.2,14.9,20.4,0
1/27/2011,25.4,15.2,20,0
1/28/2011,24.2,12.6,18.9,0
1/29/2011,25.1,19.3,21.7,0
1/30/2011,26.1,16.9,21.1,0.2
1/31/2011,25.8,16.2,20.7,0
2/1/2011,27,15.6,21,0
2/2/2011,28.5,15,21.3,0
2/3/2011,28.2,13.5,20.7,0
2/4/2011,26,17.3,21.2,0
2/5/2011,25.9,18.9,21.9,0
2/6/2011,25.5,20,22.3,0
2/7/2011,27,19.6,22.8,0
2/8/2011,26.5,13.8,20.5,0
2/9/2011,27,14.7,20.9,0
2/10/2011,28.3,15.5,21.8,0
2/11/2011,29.1,16.5,22.3,0
2/12/2011,26.5,15.1,20.9,0
2/13/2011,23.2,19.7,21.5,1
2/14/2011,24,16.5,20.3,0
2/15/2011,23.6,17.2,20.6,0
2/16/2011,24,15.5,19.7,0
2/17/2011,24.9,15,20.3,0
2/18/2011,24.8,15.9,20.7,0
2/19/2011,23.7,17.8,20.6,2
2/20/2011,25.9,17.4,21,1.5
2/21/2011,26.6,17.4,21.7,0
2/22/2011,25.6,15.5,20.7,0
2/23/2011,26.6,17.6,21.6,0
2/24/2011,27,17.2,22.1,0
2/25/2011,27.3,18.9,22.6,0
2/26/2011,29.4,17.7,23.5,0
2/27/2011,28.6,16.7,22.8,0
2/28/2011,28.7,18.7,23.6,0
3/1/2011,28.5,19.1,23.5,0
3/2/2011,26.3,17.8,22.3,0
3/3/2011,26.8,17.5,21.8,0
3/4/2011,27.1,17.4,22.3,0
3/5/2011,27.4,17.9,22.4,0
3/6/2011,30.2,18.9,24.3,0
3/7/2011,28.9,19,24,0
3/8/2011,30.5,19.1,24.7,0
3/9/2011,29,18.1,23.5,0
3/10/2011,30.8,15.7,23.5,0
3/11/2011,31.3,16.2,24.3,0
3/12/2011,31.7,18,24.6,0
3/13/2011,31.7,19.1,24.7,0
3/14/2011,33.5,20.7,26.3,0
3/15/2011,35.1,21,27.4,0
3/16/2011,36.3,20.4,28,0
3/17/2011,35.1,21,27.4,0
3/18/2011,34,21.1,26.7,0
3/19/2011,33.4,22.6,27,0
3/20/2011,33.6,22.9,27.4,0
3/21/2011,31.2,21.4,25.6,0
3/22/2011,29.5,21.5,24.9,0
3/23/2011,30.1,20.2,25,0
3/24/2011,32,21.2,25.7,0
3/25/2011,33,21.4,26.6,0
3/26/2011,31.8,21.7,26.2,0
3/27/2011,31.4,22.2,26.3,0
3/28/2011,31.9,23.5,26.9,0
3/29/2011,30.5,23.4,26.2,0
3/30/2011,29,21.5,24.9,0
3/31/2011,29.8,21.4,25.2,0
4/1/2011,36.8,20.8,28,0
4/2/2011,35.5,22.3,28.8,0
4/3/2011,34.4,20.2,28,0
4/4/2011,35,20,27.3,0
4/5/2011,33.5,20.5,26.8,0
4/6/2011,31.9,22.5,26.6,0
4/7/2011,33.9,22.4,27.4,0
4/8/2011,35,23,28.1,0
4/9/2011,32.7,23.6,27.2,0
4/10/2011,29.9,23,26,0
4/11/2011,28.7,23.9,26.1,0
4/12/2011,31.4,22.8,26.7,0
4/13/2011,33,24.2,27.7,0
4/14/2011,33.5,23.1,28,0
4/15/2011,32.9,24.9,28.6,0
4/16/2011,36.7,26.2,30.6,0
4/17/2011,33.7,24.2,28.7,0
4/18/2011,33,23.3,27.9,0
4/19/2011,34.1,22.6,27.6,0
4/20/2011,35.2,21.6,28.1,0
4/21/2011,36,22,28.5,0
4/22/2011,36.3,21.7,28.6,0
4/23/2011,34.7,23.6,28.5,0
4/24/2011,34.3,24.1,28.4,0
4/25/2011,32.8,24.1,27.7,0
4/26/2011,31.9,23.9,27.4,0
4/27/2011,31.9,24.3,27.6,0
4/28/2011,31.6,25.6,28.1,0
4/29/2011,31.6,25.7,28.3,0
4/30/2011,31.5,25.9,28.3,0
5/1/2011,32,26.1,28.4,0
5/2/2011,31.6,25.8,28.2,0
5/3/2011,31.4,26.4,28.6,0
5/4/2011,32.2,26.6,28.9,0
5/5/2011,32,25.1,28.3,0
5/6/2011,35.4,25.5,29.8,0
5/7/2011,35.3,24.8,29.7,0
5/8/2011,33.6,25.7,29,0
5/9/2011,31.8,25.9,28.4,0
5/10/2011,32,26.2,28.6,0
5/11/2011,32.1,26.3,28.7,0
5/12/2011,32.6,26.4,28.9,0
5/13/2011,32.7,26.4,28.9,0
5/14/2011,33.3,25.9,29,0
5/15/2011,33.2,26.5,29.5,0
5/16/2011,34,26.8,29.9,0
5/17/2011,34.1,26.8,29.8,0
5/18/2011,33.4,26.9,29.8,0
5/19/2011,33.4,27.1,29.8,0
5/20/2011,39.4,27.3,32.2,0
5/21/2011,42.5,26.7,33.5,0
5/22/2011,34.3,27.6,30.5,0
5/23/2011,32.9,27.2,29.7,0
5/24/2011,32.8,27.7,29.8,0
5/25/2011,32.5,27.5,29.6,0
5/26/2011,32.7,27.6,29.8,0
5/27/2011,32.5,27.8,29.8,0
5/28/2011,32.6,27.5,29.5,0
5/29/2011,32.8,27.4,29.6,0
5/30/2011,32.5,27.9,29.7,0
5/31/2011,32.6,27.6,29.6,0
6/1/2011,34,27.5,30,0
6/2/2011,33.2,27.2,29.7,0
6/3/2011,33.6,27,29.9,0
6/4/2011,36.3,27.4,30.9,0
6/5/2011,35.5,26.4,30.2,0
6/6/2011,34.7,27.1,30.3,0
6/7/2011,34.8,27.7,30.5,0
6/8/2011,34.4,27.7,30.4,0
6/9/2011,33.5,27.7,30.3,0
6/10/2011,33.3,28.6,30.6,0
6/11/2011,33.2,28.4,30.4,0
6/12/2011,33.3,28.2,30.3,0
6/13/2011,33.6,27.6,30.1,0
6/14/2011,33.3,27.8,30.2,0
6/15/2011,33.1,28.4,30.3,0
6/16/2011,33,28.2,30.2,0
6/17/2011,33.5,28.4,30.5,0
6/18/2011,34,28.3,30.5,0
6/19/2011,33,27.5,29.7,0
6/20/2011,32.5,27.7,29.9,0
6/21/2011,32.9,27.8,30.1,0.1
6/22/2011,32.5,27.8,29.9,0
6/23/2011,32.5,27.8,29.8,0
6/24/2011,31.8,28,29.4,0
6/25/2011,31.3,27.5,29.2,0
6/26/2011,31.4,27.5,29.1,0
6/27/2011,31.6,27.2,29.1,0.1
6/28/2011,31.5,27.1,29.1,0
6/29/2011,31.6,27.5,29.1,0.7
6/30/2011,31.1,27.2,28.8,0.4
7/1/2011,30.7,27.2,28.7,0
7/2/2011,31,26.9,28.7,0
7/3/2011,30.8,26.5,28.5,0
7/4/2011,31.8,26.9,29.1,0
7/5/2011,32.7,27.4,29.6,0
7/6/2011,32.8,26.9,29.6,0
7/7/2011,33.3,27.7,30,0
7/8/2011,32.8,28,30,0
7/9/2011,31.7,28,29.6,0
7/10/2011,32.1,27.8,29.6,0
7/11/2011,31.7,27.8,29.4,0.3
7/12/2011,31.6,27.5,29.2,0
7/13/2011,31.2,27.3,29,0
7/14/2011,31.1,27.3,29,0.1
7/15/2011,32,27.1,29.3,0
7/16/2011,33.9,27,29.8,0
7/17/2011,36.1,27.5,30.9,0
7/18/2011,33.9,28.1,30.3,0
7/19/2011,31.9,27.4,29.2,0
7/20/2011,31.5,27,28.9,0
7/21/2011,31.7,26.9,29,0
7/22/2011,31.4,26.9,28.9,0
7/23/2011,31.8,26.5,28.8,0
7/24/2011,31.5,27.2,28.8,0
7/25/2011,31.4,27.3,28.8,1.2
7/26/2011,32,26.7,28.3,14.9
7/27/2011,31.1,27.2,28.7,0
7/28/2011,31.1,27.4,28.9,0
7/29/2011,30.9,27.3,28.8,0.1
7/30/2011,30.7,27,28.5,0
7/31/2011,30.3,26.6,28.2,0
8/1/2011,30.4,26.6,28.2,0
8/2/2011,30.5,26.4,28.2,0
8/3/2011,31.5,26.8,28.9,0
8/4/2011,32.2,27,29.3,0
8/5/2011,32.4,27,29.4,0
8/6/2011,32,27.4,29.3,0
8/7/2011,31.8,27,29,0
8/8/2011,31.8,26.7,28.9,0
8/9/2011,31.8,27,29.1,0
8/10/2011,29.4,27.8,28.5,2.8
8/11/2011,28.6,27.3,27.9,1.9
8/12/2011,29.3,26.9,28,0.3
8/13/2011,31.6,26.5,28.5,0
8/14/2011,32,27.7,29.3,0.6
8/15/2011,31.7,27.3,29,0
8/16/2011,30.7,26.9,28.5,0.2
8/17/2011,31.2,26.7,28.6,0
8/18/2011,30.9,26.6,28.5,0
8/19/2011,31.2,26.5,28.4,0
8/20/2011,31.7,26.7,28.8,0
8/21/2011,32.8,27.3,29.3,0
8/22/2011,31,26.1,28.3,6.4
8/23/2011,30.9,27.4,28.8,0.1
8/24/2011,30.1,27.2,28.4,0.5
8/25/2011,29.3,27.1,27.8,7.5
8/26/2011,30.3,26.5,27.9,10.7
8/27/2011,30.5,27.1,28.4,0.9
8/28/2011,31.1,26.9,28.6,0
8/29/2011,32,27.4,29.1,1.1
8/30/2011,32.1,27.3,29.1,8.2
8/31/2011,29.7,26.1,27.7,13.8
9/1/2011,31.8,26.4,28.3,3.8
9/2/2011,31,26.4,28,1.5
9/3/2011,32.5,26.5,28.9,0.8
9/4/2011,34.8,27.7,30.4,0.8
9/5/2011,33.5,28.1,29.8,2.9
9/6/2011,31.8,26.4,28.5,0.3
9/7/2011,28.2,27,27.5,1.2
9/8/2011,29.3,26.8,27.8,0
9/9/2011,30.1,26.6,28,0
9/10/2011,31.6,26.3,28.3,4.7
9/11/2011,31.4,27.6,29.2,7.7
9/12/2011,30.4,27.4,28.5,3.3
9/13/2011,27.6,25.4,26.3,58
9/14/2011,29.9,26,27.5,1.5
9/15/2011,29.9,25.7,27.6,0
9/16/2011,29.4,26.1,27.3,0
9/17/2011,29,25.7,27.1,0
9/18/2011,29,25.4,26.9,0
9/19/2011,28.7,25.5,26.9,0
9/20/2011,29,25.7,27.1,0
9/21/2011,29.3,25.6,27.1,0
9/22/2011,30,25.9,27.6,0
9/23/2011,29.1,25.9,27.2,0
9/24/2011,29.2,25.2,27.1,0
9/25/2011,29,25.6,27.2,0
9/26/2011,29.2,25.7,27.2,0
9/27/2011,28.9,25.5,26.9,0
9/28/2011,28.9,25.6,27,0.2
9/29/2011,29.1,25.6,27.1,0.3
9/30/2011,28.9,25.5,27,0.3
10/1/2011,28.9,25.2,26.8,0
10/2/2011,28.7,25.3,26.6,0
10/3/2011,28.4,25.3,26.7,0
10/4/2011,28.5,25.1,26.7,0
10/5/2011,29,25,26.8,0
10/6/2011,29.4,24.3,26.5,0
10/7/2011,29.5,24.5,26.6,0
10/8/2011,29.8,24.5,26.7,0
10/9/2011,30.6,24.9,27.2,0
10/10/2011,30.9,24.2,26.9,0
10/11/2011,31.4,21.6,26.4,0
10/12/2011,31.9,23.6,27,0
10/13/2011,31.2,22.5,26.6,0
10/14/2011,32.4,23.9,27.6,0
10/15/2011,32.9,22.2,27.1,0
10/16/2011,33,22.8,27.1,0
10/17/2011,32.9,22.4,27,0
10/18/2011,34.4,21.5,27.7,0
10/19/2011,32.4,22.7,27.1,0
10/20/2011,31.9,23.7,27,0
10/21/2011,30.5,24.1,26.7,0
10/22/2011,30.8,22.3,26.1,0
10/23/2011,32.3,21.4,26.5,0
10/24/2011,32.2,21.2,26.8,0
10/25/2011,33.2,23.7,28.1,0
10/26/2011,34.2,23.3,28.6,0
10/27/2011,33.7,22.7,28.1,0
10/28/2011,33.4,21.1,27.2,0
10/29/2011,33.9,21.3,27.7,0
10/30/2011,33.9,22.1,27.7,0
10/31/2011,32.6,20.3,26.6,0
11/1/2011,30.9,24.3,27.2,0
11/2/2011,28,24.4,26.2,0
11/3/2011,26.3,23.4,25.2,19.8
11/4/2011,29.1,22.6,25.5,0
11/5/2011,31.6,21.8,26.1,0
11/6/2011,31.6,23.3,27,0
11/7/2011,30.5,22.1,26,0
11/8/2011,29.9,21.6,25.8,0
11/9/2011,29.9,24.1,26.7,0.1
